	AUC	Accuracy	Precision	Recall	validation	outer_split	vector_size
0	0.5400982383734588	0.5264065718611173	0.3106546838740646	0.5710983686713784	test	0	25
1	0.5367015670375405	0.5352914898369444	0.30933167892039426	0.5398942081166378	test	0	25
2	0.5294109830423291	0.5403295857841313	0.30466744023116277	0.5046895141574432	test	0	25
3	0.5082534041028788	0.656342292705929	0.3028985974020214	0.17295639418589145	test	0	25
4	0.5335213637062584	0.4947013128831311	0.30322145963564473	0.6214161888251767	test	0	25
5	0.5395787374299864	0.5070855979946889	0.3080948149456673	0.6131484197893052	test	0	25
6	0.5396966354797142	0.5246692973965701	0.31066634633553214	0.5737209405698538	test	0	25
7	0.5404194389638657	0.53181694090785	0.31166582016678285	0.5598968751389075	test	0	25
8	0.5279217234358602	0.5066140520685976	0.30037447118214594	0.5761657109836867	test	0	25
9	0.5396010647713027	0.5020723202541384	0.3072390939431711	0.6245721651775792	test	0	25
10	0.5392989374602837	0.5326359417268508	0.3116172306675203	0.5543850291149931	test	0	25
11	0.5398589150315671	0.5291241654878018	0.3109579059612815	0.5641641107703249	test	0	25
12	0.5402628043772911	0.5258977986250714	0.31067561449456776	0.5727874827754812	test	0	25
13	0.5366869048198777	0.5320899411808503	0.308966261494698	0.5470951682446548	test	0	25
14	0.5294883206735861	0.5402054947509493	0.30471287952459497	0.5052229186113704	test	0	25
15	0.508275629288459	0.6563547018092473	0.3029418179569884	0.17300084455705206	test	0	25
16	0.5327502990976474	0.4467277194549922	0.29854690937212597	0.7275192247855269	test	0	25
17	0.5313902860101432	0.512458739731467	0.3034515469952297	0.5742543450237809	test	0	25
18	0.5383924487802216	0.5303278485096667	0.3102974475068177	0.5566519980441837	test	0	25
19	0.5378092015096524	0.5306256669893034	0.309680163790676	0.5540738765168689	test	0	25
20	0.5277756866460354	0.4391829846375301	0.2953449927732628	0.7283637818375783	test	0	25
21	0.532553907564683	0.5274861638498002	0.30545410745000695	0.5440280926345735	test	0	25
22	0.5400165528104259	0.5303526667163031	0.3114212788350343	0.5618971418411344	test	0	25
23	0.5383234729976942	0.5326235326235326	0.31030308535188017	0.5512290527625906	test	0	25
24	0.539115845685896	0.5281314372223463	0.31015705179367503	0.5639863092856825	test	0	25
25	0.5366702086700326	0.5330082148263966	0.30908146258214475	0.5449615504289461	test	0	25
26	0.529561282825453	0.5386419477328568	0.30454478012604264	0.5090012001600214	test	0	25
27	0.5082978544740393	0.6563671109125655	0.3029941733171018	0.17304529492821266	test	0	25
28	0.5284385384869473	0.45460750006204553	0.2973324472221448	0.6956038582922168	test	0	25
29	0.5386870268971301	0.5055840964931874	0.3070155853982959	0.6136373738720718	test	0	25
