	AUC	Accuracy	Precision	Recall	validation	outer_split	vector_size
7	0.777327287276607	0.777327287276607	0.7550871484695272	0.821018938383569	train	1	50, 25, 50, 25, 50, 25
8	0.5126967191251	0.5126967191251	0.5110211451757287	0.5896238997065884	train	1	50, 25, 50, 25, 50, 25
9	0.832061883168845	0.832061883168845	0.8166900687735148	0.8567084555881568	train	1	50, 25, 50, 25, 50, 25
10	0.7945185382768738	0.7945185382768738	0.787277652103752	0.8072019205121366	train	1	50, 25, 50, 25, 50, 25
11	0.5290610829554547	0.5290610829554547	0.5281157818015455	0.5649239797279274	train	1	50, 25, 50, 25, 50, 25
12	0.850186716457722	0.8501867164577221	0.8258319968083624	0.8874633235529474	train	1	50, 25, 50, 25, 50, 25
13	0.7942651373699654	0.7942651373699653	0.7742507566720147	0.8307815417444653	train	1	50, 25, 50, 25, 50, 25
14	0.5123099493198187	0.5123099493198187	0.5107799048648219	0.5796479061082955	train	1	50, 25, 50, 25, 50, 25
15	0.8481328354227795	0.8481328354227794	0.826873441051108	0.8807148572952788	train	1	50, 25, 50, 25, 50, 25
16	0.7833155508135503	0.7833155508135503	0.7627795185528958	0.8233128834355827	train	1	50, 25, 50, 25, 50, 25
17	0.5126967191251	0.5126967191251	0.5110193894592696	0.5897039210456121	train	1	50, 25, 50, 25, 50, 25
18	0.8267804747932782	0.8267804747932782	0.8162333219331712	0.8438250200053348	train	1	50, 25, 50, 25, 50, 25
19	0.7735929581221659	0.7735929581221659	0.7659768364349702	0.7877300613496933	train	1	50, 25, 50, 25, 50, 25
20	0.529074419845292	0.5290744198452921	0.5281274932864235	0.564950653507602	train	1	50, 25, 50, 25, 50, 25
21	0.8470258735662843	0.8470258735662843	0.8421911328963536	0.8554547879434515	train	1	50, 25, 50, 25, 50, 25
22	0.7862229927980795	0.7862229927980795	0.7706849719259441	0.8144038410242731	train	1	50, 25, 50, 25, 50, 25
23	0.5123099493198187	0.5123099493198187	0.5107799048648219	0.5796479061082955	train	1	50, 25, 50, 25, 50, 25
24	0.8523206188316883	0.8523206188316885	0.8393890273339681	0.8716457722059215	train	1	50, 25, 50, 25, 50, 25
25	0.7946252333955722	0.7946252333955721	0.7851470587561076	0.8113096825820219	train	1	50, 25, 50, 25, 50, 25
26	0.5127100560149374	0.5127100560149374	0.5110301907167285	0.5897572686049612	train	1	50, 25, 50, 25, 50, 25
0	0.5225573940043672	0.5247150270640528	0.2979400907983493	0.5176724410528629	test	0	5, 25, 50, 75, 100, 125
1	0.5198435483935316	0.5273432555784708	0.29608461594372465	0.5028671305466506	test	0	5, 25, 50, 75, 100, 125
2	0.5	0.7208791536061827	0.0	0.0	test	0	5, 25, 50, 75, 100, 125
3	0.5193843098751542	0.5179471525042625	0.29511731500834765	0.5226352177131482	test	0	5, 25, 50, 75, 100, 125
4	0.5180223698550446	0.5328603018367818	0.2953984508533478	0.4844348637558762	test	0	5, 25, 50, 75, 100, 125
5	0.5	0.7208791536061827	0.0	0.0	test	0	5, 25, 50, 75, 100, 125
6	0.5220637887998145	0.5269263128113111	0.297650648355644	0.5110565671123407	test	0	5, 25, 50, 75, 100, 125
7	0.5184312611100799	0.5315052378435124	0.2953747280501923	0.4888364261413869	test	0	5, 25, 50, 75, 100, 125
8	0.5	0.7208791536061827	0.0	0.0	test	0	5, 25, 50, 75, 100, 125
9	0.5201270773156781	0.5107474443641995	0.2948598220647592	0.5413591820143525	test	0	5, 25, 50, 75, 100, 125
10	0.5198034358081853	0.48651264602303607	0.29314137281868136	0.5951621226563207	test	0	5, 25, 50, 75, 100, 125
11	0.5	0.7208791536061827	0.0	0.0	test	0	5, 25, 50, 75, 100, 125
12	0.5190509158467472	0.5267178414277311	0.2954000674719398	0.5016945393113202	test	0	5, 25, 50, 75, 100, 125
13	0.5188122500655868	0.5473490629955848	0.2967352178955818	0.45421361978418784	test	0	5, 25, 50, 75, 100, 125
14	0.5	0.7208791536061827	0.0	0.0	test	0	5, 25, 50, 75, 100, 125
15	0.5212188686971558	0.5293013975028107	0.2973325296965749	0.5029216264316911	test	0	5, 25, 50, 75, 100, 125
16	0.5178666896026856	0.5254595677196954	0.2946465789349608	0.5006796468477255	test	0	5, 25, 50, 75, 100, 125
17	0.5	0.7208791536061827	0.0	0.0	test	0	5, 25, 50, 75, 100, 125
18	0.5229024935218489	0.5062876458369009	0.29673940339485533	0.5605120247578872	test	0	5, 25, 50, 75, 100, 125
19	0.5201097833170867	0.5272911377325759	0.2963135267065453	0.5038540574841831	test	0	5, 25, 50, 75, 100, 125
20	0.5	0.7208791536061827	0.0	0.0	test	0	5, 25, 50, 75, 100, 125
21	0.5213120072765236	0.5173217383535228	0.2964792156505787	0.5303433285781062	test	0	5, 25, 50, 75, 100, 125
22	0.517073773408746	0.5311031858894655	0.29405445797447344	0.485315707214024	test	0	5, 25, 50, 75, 100, 125
23	0.5	0.7208791536061827	0.0	0.0	test	0	5, 25, 50, 75, 100, 125
24	0.5222905093213497	0.5326965028925404	0.2983586567392534	0.4987337277231601	test	0	5, 25, 50, 75, 100, 125
25	0.5185422474251079	0.5048209007452852	0.29332255319447503	0.5496020332169723	test	0	5, 25, 50, 75, 100, 125
26	0.5	0.7208791536061827	0.0	0.0	test	0	5, 25, 50, 75, 100, 125
0	0.6156470997188381	0.6156470997188381	0.6112400994289333	0.6360254796071954	train	0	5, 25, 50, 75, 100, 125
1	0.5841979379164648	0.5841979379164648	0.5840045723463183	0.5866524500430161	train	0	5, 25, 50, 75, 100, 125
2	0.5	0.5	0.0	0.0	train	0	5, 25, 50, 75, 100, 125
3	0.6162475521997217	0.6162475521997216	0.6140985036276293	0.6443467283408169	train	0	5, 25, 50, 75, 100, 125
4	0.5862918708895712	0.5862918708895711	0.5892831560296556	0.5734223250542156	train	0	5, 25, 50, 75, 100, 125
5	0.5	0.5	0.0	0.0	train	0	5, 25, 50, 75, 100, 125
6	0.6072047708952293	0.6072047708952293	0.604353198857498	0.6208754828574574	train	0	5, 25, 50, 75, 100, 125
7	0.5852782907423768	0.585278290742377	0.5870406288793819	0.5762761320218895	train	0	5, 25, 50, 75, 100, 125
8	0.5	0.5	0.0	0.0	train	0	5, 25, 50, 75, 100, 125
9	0.6135400995251885	0.6135400995251885	0.6036268827373035	0.6627540469747688	train	0	5, 25, 50, 75, 100, 125
10	0.5825708892978945	0.5825708892978945	0.5699641704850935	0.6761704686194879	train	0	5, 25, 50, 75, 100, 125
11	0.5	0.5	0.0	0.0	train	0	5, 25, 50, 75, 100, 125
12	0.614313539521764	0.614313539521764	0.613315651887008	0.6207945920306306	train	0	5, 25, 50, 75, 100, 125
13	0.5826907355974966	0.5826907355974966	0.5903901003642298	0.5392774721430907	train	0	5, 25, 50, 75, 100, 125
14	0.5	0.5	0.0	0.0	train	0	5, 25, 50, 75, 100, 125
15	0.6127530124123581	0.6127530124123581	0.6104737767280715	0.6248489368113757	train	0	5, 25, 50, 75, 100, 125
16	0.5868921006620402	0.5868921006620402	0.586701044055491	0.5904939595785793	train	0	5, 25, 50, 75, 100, 125
17	0.5	0.5	0.0	0.0	train	0	5, 25, 50, 75, 100, 125
18	0.6070714091121411	0.6070714091121412	0.5965218976251471	0.6668341832398726	train	0	5, 25, 50, 75, 100, 125
19	0.5891992794322618	0.5891992794322618	0.5889425081068008	0.5929475275068372	train	0	5, 25, 50, 75, 100, 125
20	0.5	0.5	0.0	0.0	train	0	5, 25, 50, 75, 100, 125
21	0.606791226273229	0.606791226273229	0.6003471035063097	0.6426669462119761	train	0	5, 25, 50, 75, 100, 125
22	0.5866918957589146	0.5866918957589146	0.5887502476035718	0.5749417329327371	train	0	5, 25, 50, 75, 100, 125
23	0.5	0.5	0.0	0.0	train	0	5, 25, 50, 75, 100, 125
24	0.6107524839174641	0.6107524839174641	0.6101401371560435	0.6160997506576515	train	0	5, 25, 50, 75, 100, 125
25	0.5780228355389009	0.5780228355389008	0.5715100126974635	0.6255156973428795	train	0	5, 25, 50, 75, 100, 125
26	0.5	0.5	0.0	0.0	train	0	5, 25, 50, 75, 100, 125
0	0.5072452541777694	0.5632929298945738	0.287063081029635	0.3803680981595092	test	1	125, 100, 75, 50, 25, 5
1	0.5098766629574846	0.5558103520162011	0.289256771309487	0.40589490530808214	test	1	125, 100, 75, 50, 25, 5
2	0.5361509197065345	0.4950786229078563	0.30437032598492625	0.6291277674046413	test	1	125, 100, 75, 50, 25, 5
3	0.5083019220389186	0.5599499672404551	0.2878203863952411	0.39138436916511066	test	1	125, 100, 75, 50, 25, 5
4	0.5102190662740143	0.542282149026148	0.2888255355567598	0.43763670312083225	test	1	125, 100, 75, 50, 25, 5
5	0.537335073864815	0.49631455119423434	0.3052087453028003	0.6301947185916245	test	1	125, 100, 75, 50, 25, 5
6	0.5100395795781232	0.5649532431949491	0.2900350681039682	0.38572952787409975	test	1	125, 100, 75, 50, 25, 5
7	0.5102708870513618	0.5375022336053368	0.28865145025197325	0.44862630034675915	test	1	125, 100, 75, 50, 25, 5
8	0.5370837835094969	0.496046518553815	0.3050264899482332	0.6299813283542278	test	1	125, 100, 75, 50, 25, 5
9	0.5117896309947523	0.5398921913157424	0.29013115637114034	0.4481728460922913	test	1	125, 100, 75, 50, 25, 5
10	0.5096766545152781	0.5490648638989815	0.28870238214717986	0.4205121365697519	test	1	125, 100, 75, 50, 25, 5
11	0.5354174356708366	0.494810590267437	0.3038999425218064	0.6273406241664443	test	1	125, 100, 75, 50, 25, 5
